p: 0.000000 0.000000 -5.000000
co->n: 0.000000 1.000000 0.000000
ph: -0.230885 0.316785 1.531853, result: 0.316785
ph: -0.220167 0.320495 1.531266, result: 0.320495
ph: -0.209328 0.324074 1.530700, result: 0.324074
ph: -0.198362 0.327517 1.530155, result: 0.327517
ph: -0.755079 0.000459 1.558505, result: 0.000459
ph: -0.747230 0.008261 1.557289, result: 0.008261
ph: -0.739365 0.016021 1.556079, result: 0.016021
ph: -0.731485 0.023738 1.554876, result: 0.023738
ph: -0.723588 0.031413 1.553680, result: 0.031413
ph: -0.715675 0.039045 1.552491, result: 0.039045
ph: -0.707743 0.046634 1.551308, result: 0.046634
ph: -0.699794 0.054179 1.550132, result: 0.054179
ph: -0.691826 0.061679 1.548963, result: 0.061679
ph: -0.683839 0.069135 1.547801, result: 0.069135
ph: -0.675831 0.076545 1.546646, result: 0.076545
ph: -0.667804 0.083910 1.545498, result: 0.083910
ph: -0.659754 0.091229 1.544357, result: 0.091229
ph: -0.651683 0.098501 1.543224, result: 0.098501
ph: -0.643589 0.105726 1.542098, result: 0.105726
ph: -0.635472 0.112903 1.540979, result: 0.112903
ph: -0.627330 0.120032 1.539868, result: 0.120032
ph: -0.619164 0.127112 1.538765, result: 0.127112
ph: -0.610972 0.134143 1.537669, result: 0.134143
ph: -0.602753 0.141123 1.536581, result: 0.141123
ph: -0.594506 0.148053 1.535501, result: 0.148053
ph: -0.586232 0.154930 1.534429, result: 0.154930
ph: -0.577928 0.161756 1.533365, result: 0.161756
ph: -0.569593 0.168529 1.532310, result: 0.168529
ph: -0.561228 0.175248 1.531263, result: 0.175248
ph: -0.552830 0.181912 1.530224, result: 0.181912
ph: -0.544399 0.188521 1.529194, result: 0.188521
ph: -0.535934 0.195074 1.528172, result: 0.195074
ph: -0.527433 0.201570 1.527160, result: 0.201570
ph: -0.518896 0.208008 1.526157, result: 0.208008
ph: -0.510320 0.214387 1.525162, result: 0.214387
ph: -0.501706 0.220705 1.524178, result: 0.220705
ph: -0.493051 0.226963 1.523202, result: 0.226963
ph: -0.484355 0.233158 1.522237, result: 0.233158
ph: -0.475616 0.239290 1.521281, result: 0.239290
ph: -0.466832 0.245358 1.520335, result: 0.245358
ph: -0.458001 0.251360 1.519400, result: 0.251360
ph: -0.449124 0.257294 1.518475, result: 0.257294
ph: -0.440197 0.263161 1.517561, result: 0.263161
ph: -0.431218 0.268957 1.516657, result: 0.268957
ph: -0.422188 0.274682 1.515765, result: 0.274682
ph: -0.413102 0.280334 1.514884, result: 0.280334
ph: -0.403960 0.285912 1.514015, result: 0.285912
ph: -0.394760 0.291414 1.513157, result: 0.291414
ph: -0.385498 0.296837 1.512312, result: 0.296837
ph: -0.376174 0.302181 1.511479, result: 0.302181
ph: -0.366785 0.307443 1.510659, result: 0.307443
ph: -0.357328 0.312621 1.509852, result: 0.312621
ph: -0.347800 0.317713 1.509058, result: 0.317713
ph: -0.338200 0.322716 1.508279, result: 0.322716
ph: -0.328524 0.327629 1.507513, result: 0.327629
ph: -0.318770 0.332448 1.506762, result: 0.332448
ph: -0.308933 0.337171 1.506026, result: 0.337171
ph: -0.299012 0.341795 1.505305, result: 0.341795
ph: -0.289002 0.346318 1.504600, result: 0.346318
ph: -0.278899 0.350735 1.503911, result: 0.350735
ph: -0.268701 0.355044 1.503240, result: 0.355044
ph: -0.258403 0.359241 1.502586, result: 0.359241
ph: -0.247999 0.363322 1.501950, result: 0.363322
ph: -0.237487 0.367283 1.501332, result: 0.367283
ph: -0.226861 0.371120 1.500734, result: 0.371120
ph: -0.216115 0.374829 1.500156, result: 0.374829
ph: -0.797293 0.005789 1.533870, result: 0.005789
ph: -0.789541 0.013868 1.532630, result: 0.013868
ph: -0.781776 0.021906 1.531396, result: 0.021906
ph: -0.773998 0.029905 1.530168, result: 0.029905
ph: -0.766207 0.037862 1.528947, result: 0.037862
ph: -0.758403 0.045779 1.527732, result: 0.045779
ph: -0.750584 0.053655 1.526523, result: 0.053655
ph: -0.742751 0.061489 1.525321, result: 0.061489
ph: -0.734902 0.069281 1.524125, result: 0.069281
ph: -0.727037 0.077031 1.522936, result: 0.077031
ph: -0.719156 0.084738 1.521753, result: 0.084738
ph: -0.711258 0.092402 1.520577, result: 0.092402
ph: -0.703343 0.100023 1.519407, result: 0.100023
ph: -0.695409 0.107600 1.518244, result: 0.107600
ph: -0.687457 0.115132 1.517088, result: 0.115132
ph: -0.679486 0.122620 1.515939, result: 0.122620
ph: -0.671494 0.130063 1.514797, result: 0.130063
ph: -0.663482 0.137459 1.513661, result: 0.137459
ph: -0.655449 0.144810 1.512533, result: 0.144810
ph: -0.647393 0.152114 1.511412, result: 0.152114
ph: -0.639315 0.159370 1.510299, result: 0.159370
ph: -0.631213 0.166579 1.509192, result: 0.166579
ph: -0.623087 0.173739 1.508093, result: 0.173739
ph: -0.614936 0.180851 1.507002, result: 0.180851
ph: -0.606759 0.187912 1.505918, result: 0.187912
ph: -0.598556 0.194923 1.504842, result: 0.194923
ph: -0.590324 0.201884 1.503774, result: 0.201884
ph: -0.582064 0.208792 1.502713, result: 0.208792
ph: -0.573775 0.215649 1.501661, result: 0.215649
ph: -0.565455 0.222452 1.500617, result: 0.222452
ph: -0.557104 0.229201 1.499581, result: 0.229201
ph: -0.548721 0.235895 1.498554, result: 0.235895
ph: -0.540304 0.242534 1.497535, result: 0.242534
ph: -0.531852 0.249117 1.496525, result: 0.249117
ph: -0.523365 0.255642 1.495523, result: 0.255642
ph: -0.514840 0.262109 1.494531, result: 0.262109
ph: -0.506278 0.268517 1.493547, result: 0.268517
ph: -0.497676 0.274864 1.492573, result: 0.274864
ph: -0.489033 0.281150 1.491608, result: 0.281150
ph: -0.480348 0.287373 1.490653, result: 0.287373
ph: -0.471620 0.293533 1.489708, result: 0.293533
ph: -0.462847 0.299628 1.488772, result: 0.299628
ph: -0.454027 0.305656 1.487847, result: 0.305656
ph: -0.445158 0.311617 1.486932, result: 0.311617
ph: -0.436240 0.317510 1.486028, result: 0.317510
ph: -0.427270 0.323332 1.485134, result: 0.323332
ph: -0.418247 0.329082 1.484252, result: 0.329082
ph: -0.409169 0.334759 1.483381, result: 0.334759
ph: -0.400033 0.340360 1.482521, result: 0.340360
ph: -0.390837 0.345885 1.481673, result: 0.345885
ph: -0.381580 0.351331 1.480837, result: 0.351331
ph: -0.372259 0.356697 1.480014, result: 0.356697
ph: -0.362872 0.361979 1.479203, result: 0.361979
ph: -0.353416 0.367178 1.478405, result: 0.367178
ph: -0.343888 0.372289 1.477621, result: 0.372289
ph: -0.334287 0.377310 1.476850, result: 0.377310
ph: -0.324608 0.382240 1.476093, result: 0.382240
ph: -0.314849 0.387076 1.475351, result: 0.387076
ph: -0.305006 0.391814 1.474624, result: 0.391814
ph: -0.295077 0.396452 1.473912, result: 0.396452
ph: -0.285057 0.400986 1.473216, result: 0.400986
ph: -0.274943 0.405414 1.472537, result: 0.405414
ph: -0.264731 0.409732 1.471874, result: 0.409732
ph: -0.254416 0.413936 1.471229, result: 0.413936
ph: -0.243994 0.418023 1.470602, result: 0.418023
ph: 0.782849 0.020798 1.531566, result: 0.020798
ph: -0.846447 0.001241 1.510313, result: 0.001241
ph: -0.838784 0.009625 1.509047, result: 0.009625
ph: -0.831112 0.017970 1.507786, result: 0.017970
ph: -0.823430 0.026278 1.506532, result: 0.026278
ph: -0.815739 0.034546 1.505283, result: 0.034546
ph: -0.808037 0.042776 1.504040, result: 0.042776
ph: -0.800323 0.050967 1.502802, result: 0.050967
ph: -0.792599 0.059118 1.501571, result: 0.059118
ph: -0.784863 0.067230 1.500346, result: 0.067230
ph: -0.777115 0.075301 1.499127, result: 0.075301
ph: -0.769354 0.083333 1.497913, result: 0.083333
ph: -0.761579 0.091323 1.496706, result: 0.091323
ph: -0.753791 0.099273 1.495506, result: 0.099273
ph: -0.745989 0.107182 1.494311, result: 0.107182
ph: -0.738173 0.115049 1.493123, result: 0.115049
ph: -0.730341 0.122874 1.491941, result: 0.122874
ph: -0.722493 0.130657 1.490765, result: 0.130657
ph: -0.714629 0.138397 1.489596, result: 0.138397
ph: -0.706748 0.146094 1.488433, result: 0.146094
ph: -0.698850 0.153747 1.487277, result: 0.153747
ph: -0.690933 0.161357 1.486128, result: 0.161357
ph: -0.682998 0.168922 1.484985, result: 0.168922
ph: -0.675044 0.176443 1.483849, result: 0.176443
ph: -0.667069 0.183918 1.482720, result: 0.183918
ph: -0.659074 0.191347 1.481598, result: 0.191347
ph: -0.651058 0.198730 1.480483, result: 0.198730
ph: -0.643019 0.206066 1.479375, result: 0.206066
ph: -0.634958 0.213355 1.478274, result: 0.213355
ph: -0.626873 0.220595 1.477180, result: 0.220595
ph: -0.618764 0.227788 1.476093, result: 0.227788
ph: -0.610629 0.234931 1.475015, result: 0.234931
ph: -0.602469 0.242024 1.473943, result: 0.242024
ph: -0.594282 0.249067 1.472879, result: 0.249067
ph: -0.586067 0.256059 1.471823, result: 0.256059
ph: -0.577823 0.262999 1.470775, result: 0.262999
ph: -0.569550 0.269887 1.469734, result: 0.269887
ph: -0.561246 0.276721 1.468702, result: 0.276721
ph: -0.552910 0.283501 1.467678, result: 0.283501
ph: -0.544542 0.290227 1.466662, result: 0.290227
ph: -0.536141 0.296896 1.465655, result: 0.296896
ph: -0.527704 0.303509 1.464656, result: 0.303509
ph: -0.519231 0.310064 1.463666, result: 0.310064
ph: -0.510721 0.316561 1.462684, result: 0.316561
ph: -0.502173 0.322998 1.461712, result: 0.322998
ph: -0.493585 0.329375 1.460749, result: 0.329375
ph: -0.484955 0.335690 1.459795, result: 0.335690
ph: -0.476284 0.341942 1.458850, result: 0.341942
ph: -0.467568 0.348130 1.457916, result: 0.348130
ph: -0.458806 0.354253 1.456991, result: 0.354253
ph: -0.449998 0.360309 1.456076, result: 0.360309
ph: -0.441140 0.366298 1.455172, result: 0.366298
ph: -0.432232 0.372217 1.454277, result: 0.372217
ph: -0.423272 0.378065 1.453394, result: 0.378065
ph: -0.414258 0.383841 1.452522, result: 0.383841
ph: -0.405188 0.389543 1.451660, result: 0.389543
ph: -0.396059 0.395170 1.450810, result: 0.395170
ph: -0.386870 0.400719 1.449972, result: 0.400719
ph: -0.377619 0.406188 1.449146, result: 0.406188
ph: -0.368302 0.411576 1.448332, result: 0.411576
ph: -0.358918 0.416881 1.447531, result: 0.416881
ph: -0.349465 0.422100 1.446743, result: 0.422100
ph: -0.339938 0.427231 1.445968, result: 0.427231
ph: -0.330336 0.432272 1.445206, result: 0.432272
ph: -0.320655 0.437220 1.444459, result: 0.437220
ph: -0.310893 0.442072 1.443726, result: 0.442072
ph: -0.301046 0.446826 1.443008, result: 0.446826
ph: -0.291109 0.451478 1.442305, result: 0.451478
ph: -0.281081 0.456025 1.441618, result: 0.456025
ph: -0.270956 0.460464 1.440948, result: 0.460464
ph: 0.777679 0.074715 1.499215, result: 0.074715
ph: -0.887228 0.003370 1.485292, result: 0.003370
ph: -0.879628 0.012012 1.484008, result: 0.012012
ph: -0.872022 0.020616 1.482729, result: 0.020616
ph: -0.864409 0.029184 1.481456, result: 0.029184
ph: -0.856788 0.037715 1.480189, result: 0.037715
ph: -0.849159 0.046208 1.478927, result: 0.046208
ph: -0.841522 0.054663 1.477671, result: 0.054663
ph: -0.833876 0.063081 1.476420, result: 0.063081
ph: -0.826221 0.071460 1.475175, result: 0.071460
ph: -0.818556 0.079801 1.473936, result: 0.079801
ph: -0.810882 0.088103 1.472702, result: 0.088103
ph: -0.803197 0.096367 1.471474, result: 0.096367
