p: 0.000000 0.000000 -5.000000
co->n: 0.000000 1.000000 0.000000
ph: -0.329952 -1.962124 2.845820, result: -1.962124
ph: -0.317363 -1.961271 2.846756, result: -1.961271
ph: -0.304790 -1.960453 2.847654, result: -1.960453
ph: -0.292232 -1.959669 2.848515, result: -1.959669
ph: -0.279690 -1.958919 2.849339, result: -1.958919
ph: -0.267161 -1.958202 2.850125, result: -1.958202
ph: -0.254647 -1.957519 2.850875, result: -1.957519
ph: -0.242144 -1.956870 2.851588, result: -1.956870
ph: -0.229654 -1.956254 2.852264, result: -1.956254
ph: -0.217176 -1.955671 2.852904, result: -1.955671
ph: -0.204708 -1.955122 2.853507, result: -1.955122
ph: -0.192251 -1.954605 2.854075, result: -1.954605
ph: -0.179803 -1.954121 2.854606, result: -1.954121
ph: -0.167364 -1.953670 2.855101, result: -1.953670
ph: -0.154934 -1.953251 2.855561, result: -1.953251
ph: -0.142511 -1.952865 2.855985, result: -1.952865
ph: -0.130095 -1.952512 2.856373, result: -1.952512
ph: -0.117686 -1.952190 2.856725, result: -1.952190
ph: -0.105282 -1.951902 2.857043, result: -1.951902
ph: -0.092884 -1.951645 2.857324, result: -1.951645
ph: -0.080490 -1.951421 2.857571, result: -1.951421
ph: -0.068100 -1.951228 2.857782, result: -1.951228
ph: -0.055714 -1.951068 2.857958, result: -1.951068
ph: -0.043330 -1.950940 2.858098, result: -1.950940
ph: -0.030949 -1.950844 2.858204, result: -1.950844
ph: -0.018569 -1.950780 2.858274, result: -1.950780
ph: -0.006189 -1.950748 2.858309, result: -1.950748
ph: 0.006189 -1.950748 2.858309, result: -1.950748
ph: 0.018569 -1.950780 2.858274, result: -1.950780
ph: 0.030949 -1.950844 2.858204, result: -1.950844
ph: 0.043330 -1.950940 2.858098, result: -1.950940
ph: 0.055714 -1.951068 2.857958, result: -1.951068
ph: 0.068100 -1.951228 2.857782, result: -1.951228
ph: 0.080490 -1.951421 2.857571, result: -1.951421
ph: 0.092884 -1.951645 2.857324, result: -1.951645
ph: 0.105282 -1.951902 2.857043, result: -1.951902
ph: 0.117686 -1.952190 2.856725, result: -1.952190
ph: 0.130095 -1.952512 2.856373, result: -1.952512
ph: 0.142511 -1.952865 2.855985, result: -1.952865
ph: 0.154934 -1.953251 2.855561, result: -1.953251
ph: 0.167364 -1.953670 2.855101, result: -1.953670
ph: 0.179803 -1.954121 2.854606, result: -1.954121
ph: 0.192251 -1.954605 2.854075, result: -1.954605
ph: 0.204708 -1.955122 2.853507, result: -1.955122
ph: 0.217176 -1.955671 2.852904, result: -1.955671
ph: 0.229654 -1.956254 2.852264, result: -1.956254
ph: 0.242144 -1.956870 2.851588, result: -1.956870
ph: 0.254647 -1.957519 2.850875, result: -1.957519
ph: 0.267161 -1.958202 2.850125, result: -1.958202
ph: 0.279690 -1.958919 2.849339, result: -1.958919
ph: 0.292232 -1.959669 2.848515, result: -1.959669
ph: 0.304790 -1.960453 2.847654, result: -1.960453
ph: 0.317363 -1.961271 2.846756, result: -1.961271
ph: 0.329952 -1.962124 2.845820, result: -1.962124
ph: 0.342557 -1.963011 2.844846, result: -1.963011
ph: 0.355181 -1.963933 2.843834, result: -1.963933
ph: 0.367822 -1.964890 2.842783, result: -1.964890
ph: 0.380483 -1.965882 2.841694, result: -1.965882
ph: 0.393163 -1.966909 2.840566, result: -1.966909
ph: 0.405864 -1.967972 2.839399, result: -1.967972
ph: 0.418585 -1.969070 2.838193, result: -1.969070
ph: 0.431329 -1.970205 2.836947, result: -1.970205
ph: 0.444095 -1.971377 2.835661, result: -1.971377
ph: 0.456884 -1.972584 2.834335, result: -1.972584
ph: 0.469698 -1.973829 2.832968, result: -1.973829
ph: 0.482537 -1.975111 2.831561, result: -1.975111
ph: 0.495401 -1.976431 2.830112, result: -1.976431
ph: 0.508291 -1.977789 2.828622, result: -1.977789
